gene_name,geneId,score,diseaseName,diseaseId
ARG1,383,0.21,Drug-Induced Liver Injury,umls:C0860207
APOH,350,0.21,Drug-Induced Liver Injury,umls:C0860207
APOE,348,0.21,Drug-Induced Liver Injury,umls:C0860207
APOA1,335,0.21,Drug-Induced Liver Injury,umls:C0860207
AMBP,259,0.21,Drug-Induced Liver Injury,umls:C0860207
ALDOB,229,0.21,Drug-Induced Liver Injury,umls:C0860207
ALB,213,0.21,Drug-Induced Liver Injury,umls:C0860207
AHR,196,0.21,Drug-Induced Liver Injury,umls:C0860207
ADIPOQ,9370,0.21,Drug-Induced Liver Injury,umls:C0860207
CYP2A6,1548,0.21,Drug-Induced Liver Injury,umls:C0860207
DGAT2,84649,0.21,Drug-Induced Liver Injury,umls:C0860207
ENO1,2023,0.21,Drug-Induced Liver Injury,umls:C0860207
F2RL3,9002,0.21,Drug-Induced Liver Injury,umls:C0860207
IL22,50616,0.21,Drug-Induced Liver Injury,umls:C0860207
IL1R2,7850,0.21,Drug-Induced Liver Injury,umls:C0860207
IL1A,3552,0.21,Drug-Induced Liver Injury,umls:C0860207
IL18,3606,0.21,Drug-Induced Liver Injury,umls:C0860207
IL17A,3605,0.21,Drug-Induced Liver Injury,umls:C0860207
IL11,3589,0.21,Drug-Induced Liver Injury,umls:C0860207
IGF1,3479,0.21,Drug-Induced Liver Injury,umls:C0860207
IFNA2,3440,0.21,Drug-Induced Liver Injury,umls:C0860207
HRH2,3274,0.21,Drug-Induced Liver Injury,umls:C0860207
HPX,3263,0.21,Drug-Induced Liver Injury,umls:C0860207
HPD,3242,0.21,Drug-Induced Liver Injury,umls:C0860207
HMOX1,3162,0.21,Drug-Induced Liver Injury,umls:C0860207
HMGB1,3146,0.21,Drug-Induced Liver Injury,umls:C0860207
HAVCR1,26762,0.21,Drug-Induced Liver Injury,umls:C0860207
GSTM2,2946,0.21,Drug-Induced Liver Injury,umls:C0860207
GSN,2934,0.21,Drug-Induced Liver Injury,umls:C0860207
GPT,2875,0.21,Drug-Induced Liver Injury,umls:C0860207
GCLC,2729,0.21,Drug-Induced Liver Injury,umls:C0860207
GC,2638,0.21,Drug-Induced Liver Injury,umls:C0860207
GADD45A,1647,0.21,Drug-Induced Liver Injury,umls:C0860207
FMO3,2328,0.21,Drug-Induced Liver Injury,umls:C0860207
FLT1,2321,0.21,Drug-Induced Liver Injury,umls:C0860207
FGA,2243,0.21,Drug-Induced Liver Injury,umls:C0860207
UGT1A9,54600,0.21,Drug-Induced Liver Injury,umls:C0860207
