network_threshold,compound,n_targets,observed_influence,null_mean,null_std,z_score,p_value,p_fdr,significant
700,Hyperforin,10,0.1211639397384623,0.017289446630198494,0.0094106982983312,11.037915552630544,0.000999000999000999,0.000999000999000999,True
700,Quercetin,62,0.0326216272539358,0.015720866563023364,0.0030946585964265216,5.461268235025414,0.000999000999000999,0.000999000999000999,True
900,Hyperforin,10,0.1138097451680753,0.014066862322614424,0.009265020713593697,10.765532633846954,0.000999000999000999,0.000999000999000999,True
900,Quercetin,62,0.032171300082812,0.014831179769535808,0.0037861199858043415,4.579918327546711,0.000999000999000999,0.000999000999000999,True
