metric,network_threshold,hyperforin_n_targets,quercetin_n_targets,hyperforin_null_std,quercetin_null_std,std_ratio_hyperforin_over_quercetin,expected_sqrt_62_over_10,observed_over_expected_ratio
Shortest_Path,700,10,62,0.161976263693172,0.0674446452796592,2.4016178455908173,2.4899799195977463,0.9645129371078608
Shortest_Path,900,10,62,0.2352998937526322,0.0914441653677953,2.573153714140627,2.4899799195977463,1.0334033997175036
RWR,700,10,62,0.0094106982983312,0.0030946585964265,3.040948784850785,2.4899799195977463,1.2212744210973585
RWR,900,10,62,0.0092650207135936,0.0037861199858043,2.4471017158283206,2.4899799195977463,0.9827796989718887
EWI,700,10,62,0.0115895575175722,0.0039597591946916,2.9268339178576834,2.4899799195977463,1.17544478765536
EWI,900,10,62,0.0122165828284692,0.0049444406458177,2.470771459012802,2.4899799195977463,0.9922856965898554
