gene_symbol,liver_tpm
CIAPIN1,15.6675
LCN12,15.6637
CDIP1,15.6637
CORO1C,15.6634
PKN1,15.6606
ASXL1,15.6453
CCDC50,15.6444
VPS52,15.6308
ZNF512B,15.6306
ARFIP2,15.6302
ITCH,15.6259
FXR2,15.6179
DUSP10,15.6152
DHRS4-AS1,15.6023
RSRC2,15.5929
RRN3,15.5802
TTC17,15.5755
MED29,15.5642
HSCB,15.5605
NGFR,15.5525
RGL3,15.547
LIMS2,15.5463
RBM14,15.5448
TMEM2,15.5328
AASS,15.5199
PTPN3,15.508
HGH1,15.5046
NDEL1,15.4893
AMD1,15.4883
CDK4,15.4826
ST3GAL6,15.4819
PPP4R2,15.4809
DTX3L,15.4707
FUBP3,15.4699
IGHG4,15.4645
SKP1,15.4602
ARF3,15.4529
FAM192A,15.4486
MIB2,15.4468
POLR2B,15.4442
NPRL2,15.4402
TGDS,15.4402
PHF10,15.4388
CFDP1,15.4345
APOL6,15.4316
ABCD4,15.4278
CCNY,15.4233
ERCC3,15.4201
EXOSC4,15.4138
KDM1A,15.4088
IFT20,15.4044
CEP170B,15.4012
SS18L2,15.394
ASNSD1,15.392
SDHAF2,15.3858
RMND5A,15.3584
ARPC5L,15.3483
THBS1,15.3338
EIF4E2,15.3289
TUBG1,15.3265
PAIP2,15.3263
CALCOCO1,15.3251
CENPV,15.3236
SYAP1,15.3139
ADSSL1,15.3078
ECHDC1,15.2891
CTC-505O3.2,15.2842
SETD5,15.2728
TMEM184A,15.2633
MAL2,15.262
NECAP2,15.2517
POLE3,15.2494
FBXO31,15.2487
SLC6A13,15.2453
TMEM50A,15.237
RP11-404G16.2,15.2369
UBE3C,15.2159
TMEM53,15.2127
ROGDI,15.2045
RNF149,15.2011
GATAD1,15.1991
PTPN23,15.197
C8orf59,15.1947
TMEM70,15.1937
TSG101,15.1874
CHAD,15.1802
TTYH3,15.1721
XPO6,15.1703
CAPN3,15.1637
TUBGCP6,15.1621
UNG,15.1569
WAC,15.1523
GSPT1,15.1523
UBE2A,15.1506
NSFL1C,15.1495
DEGS1,15.1456
TBCB,15.1452
TOP2B,15.1422
TTC19,15.1384
MSRA,15.1333
NUMB,15.131
MPND,15.1291
MAGOH,15.128
TNK2,15.1275
EAPP,15.1266
FKBP5,15.1218
SYNCRIP,15.1165
YTHDF3,15.1158
C6orf89,15.1108
ARL1,15.0964
LSM2,15.096
NR4A1,15.0943
TOMM40L,15.0924
ATRN,15.0874
PPP2R5D,15.0868
MRPL13,15.0844
CGGBP1,15.0702
ZNF622,15.0617
KCTD20,15.0568
GDA,15.0486
TMUB2,15.0475
PPP1R35,15.0452
KLF3,15.0352
TMCO6,15.0274
ELOA,15.0244
PPP1CC,15.0223
SCRIB,15.019
MLST8,15.016
IGLV2-14,15.0117
NASP,15.0081
SLBP,15.006
PLBD2,15.0028
PLA1A,15.0008
EIF2D,14.9996
TUBB2A,14.9983
EFR3A,14.9953
STX4,14.9912
USP16,14.9907
C9orf16,14.9903
POLE4,14.9887
GNS,14.9875
TXNDC12,14.983
ATP6V1A,14.9828
LPA,14.9815
ERO1A,14.9801
ZFYVE19,14.9775
MCEE,14.9767
AP1G1,14.9752
DHX9,14.9748
GATA4,14.9696
COX7A2L,14.9669
CCDC84,14.9582
SLC23A1,14.9479
TEAD3,14.938
SSR1,14.9357
MAEA,14.9254
SLC16A1,14.9237
FMO4,14.9171
ZNF787,14.912
PPIL2,14.9083
AR,14.9034
PAFAH1B1,14.9013
CBY1,14.8987
ANXA9,14.8943
ATP2B2,14.8909
LINC01146,14.8783
ALDH16A1,14.8781
INSIG2,14.8778
PDK2,14.8765
PLEKHM2,14.8724
IRS2,14.8659
LRRFIP1,14.8615
MED24,14.8611
UTP3,14.8596
RSL1D1,14.8566
PLRG1,14.8552
GINM1,14.849
MAP4,14.8307
SLC35A1,14.8226
IRF2,14.8225
RAB18,14.8202
PRPSAP1,14.8099
SORBS1,14.8067
ARHGAP35,14.8049
FBXO44,14.8048
SPRYD3,14.8019
FAM35A,14.8
SEC24C,14.7991
CHMP2B,14.7981
TUBGCP2,14.794
FAM3C,14.7913
C8orf33,14.7863
NCBP2-AS2,14.7803
HPS1,14.7773
IRF2BP1,14.7719
MAD2L2,14.7713
ING4,14.7653
PITRM1,14.761
MED10,14.7582
SIRT7,14.7482
SMS,14.7456
CFL2,14.7412
CCDC159,14.7301
EMC10,14.7129
NUP210,14.7059
ANP32A,14.7049
ITPK1,14.6988
MRPL10,14.6971
SGSM2,14.6922
CHTOP,14.6901
ZNF638,14.6897
GNPNAT1,14.6879
IAH1,14.6537
BUD31,14.6522
HACD2,14.6515
RCN1,14.6483
MRPL11,14.6457
C5orf24,14.6442
AP1G2,14.637
UBL7,14.6324
NELFE,14.6268
TPRA1,14.623
PAIP1,14.6228
PFDN1,14.6175
EXOSC10,14.6126
PLK2,14.61
ABHD3,14.6056
RNF130,14.6019
ELK1,14.6009
RTN4RL2,14.598
MCM7,14.5918
MFSD14A,14.5818
ZXDC,14.5784
RABGGTB,14.573
WDR61,14.5717
SYBU,14.5637
ORMDL2,14.5635
ARHGEF26,14.5611
SEPT10,14.5572
CLCN7,14.557
RSL24D1,14.555
PSMD10,14.5516
MEST,14.5444
ABHD4,14.5381
URM1,14.5335
PDCD6IP,14.5309
ZNF428,14.5193
PPP6R3,14.5079
LSG1,14.5064
SYMPK,14.501
UNC50,14.4897
RASSF4,14.4864
NUDT2,14.4852
IDNK,14.4787
HLX,14.4676
LZTR1,14.4599
PEX11B,14.4591
ADAMTS1,14.4364
COA5,14.4353
PYGO2,14.4191
BMI1,14.4189
COPS5,14.4134
B4GALT2,14.3987
MED15,14.3961
SPPL2A,14.3909
RDH14,14.3878
CUTC,14.3847
MALSU1,14.3834
HACD3,14.3812
RALGAPA2,14.3785
ERMARD,14.3747
IFNGR2,14.3739
UHMK1,14.3733
BID,14.3653
C1QTNF1,14.3651
UPF3A,14.3598
ADPRHL2,14.3558
ACAD10,14.3441
ALDH7A1,14.3422
SCO2,14.3372
PGAM5,14.3344
UBP1,14.3333
COLEC10,14.3331
GK,14.3323
ICAM1,14.3268
LTBP4,14.3262
SNX5,14.3257
NAA50,14.3193
NSMCE1,14.3107
WDR59,14.2952
CCDC85B,14.2822
PCCA,14.2758
CBLC,14.272
SGPL1,14.264
FOXA1,14.264
PSMD12,14.2605
SLC25A4,14.259
RP11-285F7.2,14.2515
PRPF38B,14.2471
CBR4,14.2463
RBP1,14.2341
CEP57,14.2282
TUBA4A,14.2262
FZR1,14.225
ABCA8,14.2202
EFHD1,14.2164
CCL14,14.2148
NSMCE4A,14.2117
AEBP1,14.211
HIF1A,14.2067
TRMT11,14.2049
RBM17,14.1986
TCEAL9,14.1979
PRELID3B,14.1886
NFYC,14.1855
SLC19A2,14.1797
TWF1,14.175
IGSF9,14.1712
ATXN7L3,14.1707
SMPD4,14.1699
UBAP2L,14.1618
PROSER2,14.1419
IRF6,14.1398
KRI1,14.1398
DCTN6,14.1392
CAMKK2,14.1386
ADRA1A,14.1384
DEDD,14.1383
KIAA0907,14.124
VAPA,14.1239
RPF1,14.1176
SEMA4C,14.1102
EFCAB14,14.1049
TBC1D8,14.1042
NUP88,14.1012
ATAD3B,14.0966
PHF8,14.0959
CUL4A,14.0948
GPBP1,14.0945
GGNBP2,14.0944
UBE2F,14.0909
IPO5,14.0871
DYNLT1,14.0866
GGCT,14.0836
CHMP1B,14.082
COX11,14.074
PDHX,14.0728
LIPA,14.0714
IRF2BPL,14.0657
PSMC1,14.0647
NFS1,14.0643
NDUFB5,14.0591
PSMG2,14.0585
COPS7B,14.0579
TNRC6A,14.0487
AFF4,14.0425
ARMCX3,14.0326
COL1A1,14.0261
RNF26,14.0175
FES,14.0175
PKIG,14.0174
TRPV1,14.0159
DDX18,14.0096
ALDH18A1,14.0084
TSEN34,14.0019
CBX7,13.999
DANCR,13.9933
CIC,13.9877
ABLIM1,13.9858
KDM5C,13.9854
EGLN1,13.9725
ZNF672,13.9708
SCAF4,13.9638
SGPP1,13.9631
NUDT9,13.9627
MARK3,13.9546
TSSC4,13.953
MARCH6,13.935
CDC42EP4,13.9336
NFKBIL1,13.9315
SEC14L4,13.9289
ACAD9,13.9241
TMEM9B,13.9182
FTSJ3,13.9042
CDH2,13.9009
RNF146,13.8842
METTL3,13.8771
NCBP2,13.8661
UBA3,13.8645
S100A13,13.8505
RPL26L1,13.8428
IGF1,13.8385
SNX10,13.8383
TSC22D4,13.833
RP11-73M18.8,13.8303
VIPR1,13.8301
TCEAL8,13.8257
FADS3,13.8233
FMC1,13.8139
E4F1,13.8121
UBE2E1,13.809
FBXO8,13.8054
ARFRP1,13.8045
ZDHHC8,13.8044
AIMP1,13.7863
XPO1,13.7861
POLG,13.7833
HS3ST3B1,13.7824
MAP1LC3B,13.779
SORBS2,13.7713
RPL13P12,13.7642
STRN4,13.7611
SNX12,13.7535
SLC7A5,13.7508
ZDHHC12,13.7496
MKRN1,13.7488
MFSD1,13.7356
HPS5,13.7343
HGSNAT,13.7342
SRD5A1,13.7306
AGAP9,13.7244
TMEM110,13.7196
PARP14,13.7168
CYP39A1,13.7161
LRPAP1,13.7112
THOP1,13.7101
MPV17L2,13.7045
PUS3,13.703
TRIM14,13.7022
METTL23,13.7021
CCNDBP1,13.6981
LINC00998,13.6966
MTIF2,13.6871
WTAP,13.6867
PNKP,13.6818
MBNL1,13.6745
DCTPP1,13.6687
ARAP1,13.6685
GNG12,13.6678
PSME3,13.6664
PGAP2,13.6655
YY1,13.663
WDR77,13.6609
KIAA1551,13.6601
IFITM10,13.6525
CYB5D2,13.6506
RP11-326C3.2,13.6487
SMO,13.6398
CDC25B,13.637
CNNM3,13.6368
AP000347.4,13.6366
IMPAD1,13.6352
TSFM,13.6337
SERPINB6,13.6306
STK11,13.6235
B4GALT5,13.6176
RPUSD4,13.6168
RBM22,13.6152
CAB39,13.5999
RANBP9,13.5997
KANSL3,13.5967
LIPG,13.5932
UBE2J2,13.5925
VPS16,13.5893
DHX58,13.5885
TMEM94,13.5878
TARBP2,13.5872
BCL2L2,13.5759
ACSL3,13.575
VTI1B,13.5735
IL1RAP,13.5693
LAMA5,13.5658
PTOV1-AS2,13.5651
MGST3,13.5607
DHX38,13.5524
PDS5A,13.5501
DNAJC5,13.5427
LPIN1,13.5415
TAF6L,13.5281
IGHA2,13.526
GLMP,13.5227
CHMP6,13.5207
PRR5,13.5197
TIAL1,13.5188
DDC,13.508
TRAPPC3,13.5007
MAX,13.4982
YY1AP1,13.4901
SNRPF,13.4764
AGAP6,13.4722
KIF5B,13.4679
BTBD1,13.4643
ABHD15,13.463
DDI2,13.4598
ABCA5,13.4574
ZNF700,13.4524
MIR22HG,13.4492
PLSCR1,13.4427
COBLL1,13.4326
SDF2,13.4325
PLPP5,13.4303
FBXL15,13.4291
GLB1,13.4199
TOX4,13.4141
CAMTA2,13.4061
TAF1D,13.392
POLM,13.3857
CD9,13.3825
MCOLN1,13.3823
OLFM2,13.3803
JOSD1,13.3799
AADAT,13.3798
PARP1,13.3773
CSE1L,13.3754
TSN,13.3751
DCAF5,13.3723
DUS3L,13.3665
MBOAT7,13.3657
RPL3P4,13.3609
KIAA0319L,13.3514
RNF31,13.3514
HERC2P2,13.344
ARSD,13.3416
FOXP4,13.3377
TAB2,13.335
TMEM254,13.331
GSK3A,13.3302
OXSM,13.3276
HMGCR,13.3229
MINPP1,13.3178
LCP1,13.3107
MXI1,13.3055
MED4,13.3013
AC093838.4,13.2968
LBR,13.289
TUBG2,13.2799
SLC35B3,13.2776
ERVK3-1,13.2728
ZFP91,13.2686
RP5-894A10.2,13.2663
VPS4B,13.2659
PDRG1,13.263
PQLC2,13.2624
KRT10,13.2581
MRPS22,13.2564
PTPN1,13.2531
CYP2C19,13.2527
NFATC2IP,13.2509
TICAM1,13.2417
PANK3,13.2415
DDX54,13.2407
FBXW4,13.236
ATAD3A,13.2302
UBAC1,13.2232
KIAA0368,13.2088
ARL2,13.2028
DAXX,13.2012
MKNK1,13.2004
GPER1,13.1988
EPB41L5,13.1974
HARS2,13.1949
NFKB2,13.1913
TAP1,13.1911
SRF,13.1872
NUB1,13.1852
NUMA1,13.1847
SNRPA1,13.183
LRIG1,13.1822
ABCE1,13.1799
SCLY,13.1791
MMS19,13.1772
NAGA,13.1628
FNDC3B,13.1615
SRSF8,13.1598
KMO,13.1512
SCFD1,13.1451
HERPUD2,13.1441
NPRL3,13.1435
TXNRD1,13.1429
MEGF9,13.1408
LINC01831,13.1406
DAPK3,13.1346
GTF2E2,13.1324
PNPLA6,13.1235
TRAPPC4,13.1184
TMEM60,13.118
HLA-H,13.1178
SNX19,13.1176
CD2BP2,13.1158
GGA3,13.1148
DDB2,13.1143
GGA2,13.1076
TRIP10,13.1067
SMIM20,13.1056
RAB8A,13.1036
MPRIP,13.1036
GOLGB1,13.1031
CRHBP,13.1024
NDUFS1,13.1002
AGRN,13.1002
MRPL19,13.0672
CD82,13.0622
CCNB1IP1,13.0571
GCN1,13.0541
MPP1,13.0491
PDDC1,13.0489
CMTR1,13.0432
NOXA1,13.0426
DDX3Y,13.0395
PDZD11,13.0306
USP47,13.0263
CYP21A1P,13.0203
CCDC117,13.0149
UBE2J1,13.0132
SURF2,13.0122
LINC01370,13.0115
ABCA2,13.0066
YDJC,13.0065
ZBTB18,13.0025
C6orf136,13.0011
CCL19,12.993
YARS,12.9909
GNG10,12.9875
PTRF,12.9819
SH2B1,12.9793
CASP3,12.9676
NMRK1,12.9662
RMDN1,12.9635
SAE1,12.9624
NGRN,12.9578
STX18,12.9541
MRPL21,12.9514
REXO4,12.9506
ACOT8,12.9473
ACLY,12.9461
SLC9B2,12.9454
RNF208,12.9446
HLA-DPA1,12.942
METTL5,12.936
AKAP8,12.9245
SSB,12.9204
PANK1,12.9159
ADCY1,12.9092
SPATS2L,12.9019
DUT,12.8974
DENND4B,12.8973
VNN3,12.8967
RP11-12G12.7,12.8963
CLDN14,12.8857
FN3KRP,12.8852
SQLE,12.8818
PLP2,12.8778
ADM,12.8627
NOL11,12.8618
MTG2,12.8591
CYB5R1,12.859
RWDD3,12.8571
SHANK3,12.8536
CHERP,12.8522
SERPINB1,12.8516
NFX1,12.8488
C1orf226,12.846
SRP19,12.8403
TIMM10B,12.8391
DOK4,12.8388
ASAH1,12.831
C1orf168,12.8219
CCT8P1,12.8186
KDM5D,12.8186
LSM14B,12.8173
COQ10B,12.8153
SLC30A10,12.8105
C18orf8,12.8099
PIGR,12.8097
CTA-384D8.36,12.8071
RHBDD3,12.7925
DMAP1,12.7899
PLEKHA4,12.7896
G3BP1,12.7887
USP10,12.7864
GREM2,12.7863
SNHG11,12.7858
ACOT13,12.7837
MPDZ,12.7822
RNF139,12.7735
SH3BGRL,12.7662
DYNLT3,12.7649
RAPGEF1,12.7645
EPOR,12.7582
COQ8B,12.7543
RREB1,12.7456
CDK16,12.7454
ZDHHC16,12.7438
LRCOL1,12.7425
LMAN2L,12.7425
NAB2,12.7413
C9orf69,12.7387
FAM99B,12.7346
BRD4,12.73
CWC25,12.7273
MYO7A,12.7235
RP11-274B21.2,12.7223
TMPRSS2,12.7191
AASDHPPT,12.7157
KLHDC10,12.7143
PARP6,12.712
TMEM43,12.7079
RNF19A,12.7045
YES1,12.7032
MRTO4,12.7009
RAB27A,12.6974
SMIM7,12.6971
AP5Z1,12.6947
DDX21,12.6936
WDR81,12.6867
IARS,12.6759
CYHR1,12.6667
NOP14,12.6664
C18orf32,12.6628
RPP21,12.6603
PPARD,12.6602
RAB26,12.6535
SEPSECS,12.6503
TRMT10C,12.6484
SEC24A,12.6472
FAM98A,12.6443
FBRSL1,12.6357
MPHOSPH8,12.6317
ATOX1,12.6274
CCPG1,12.6267
B4GALT3,12.6213
AGAP3,12.6204
MYOM1,12.6202
RP11-20I20.4,12.6066
CKAP5,12.6042
MRPL35,12.5987
IPO7,12.5928
TRAM2,12.5924
SLC15A1,12.5854
CCAR1,12.5794
SOWAHC,12.5783
SMARCD1,12.5732
SENP3,12.573
BRD8,12.5723
ERBB2,12.5684
ACBD3,12.5659
GALNT1,12.5648
SH3D19,12.5636
PINK1,12.5629
PUM1,12.5574
ABCB11,12.5545
RBBP4,12.5542
PPAN,12.5473
PTPN12,12.5462
PET100,12.5431
MYO15B,12.5431
AP2B1,12.5395
SLC2A8,12.5389
PTDSS1,12.5367
TPD52L1,12.5357
EXOSC5,12.5357
FAM207A,12.5267
TRAPPC6B,12.5254
BAZ2A,12.5254
ZCRB1,12.5127
CDK5RAP1,12.5114
B4GAT1,12.5107
SLC25A44,12.5035
RBFOX2,12.5016
PCGF3,12.5005
L3MBTL2,12.4863
KYAT3,12.4806
OBSL1,12.4739
PPP4R3B,12.4714
C1QC,12.4655
ARNTL,12.4646
PTCD3,12.4645
TOMM34,12.462
ASMTL-AS1,12.46
NOB1,12.4581
DCAKD,12.4558
FDX2,12.4512
RANBP3,12.448
LIN7C,12.4445
UBE2N,12.4416
PTPN6,12.4391
RP11-390P24.1,12.4368
TP53TG1,12.4363
GATC,12.4317
ELOVL6,12.4312
DCUN1D4,12.4255
SEPT7,12.4206
DPYD,12.4188
CLN6,12.4086
PAPD7,12.408
XPOT,12.408
TK2,12.4035
EHBP1,12.3968
SAP30BP,12.3935
TIMM9,12.3901
SPOP,12.385
VBP1,12.3847
PWP1,12.3783
ZNF655,12.3729
TFRC,12.3717
GBP1,12.3716
EPO,12.3696
RARS2,12.3694
ACTR10,12.3548
ABHD12,12.3511
CAPZA2,12.3488
ZNF302,12.3448
PEX11G,12.3405
RMND1,12.3399
SDHC,12.3265
WBP11,12.3236
RPA2,12.3235
UBALD2,12.3219
GYG2,12.3191
CCDC94,12.3175
SMIM19,12.3169
PI4KA,12.312
VPS72,12.3109
UBR4,12.3043
INPP1,12.2995
GFOD2,12.2988
CTD-3092A11.2,12.296
M6PR,12.295
CCDC25,12.2819
IGBP1,12.2781
SRSF10,12.2776
LACTB,12.2769
HSD17B2,12.2741
LURAP1L,12.2728
SULF2,12.2645
MAZ,12.2634
RP11-66N24.3,12.2585
LAGE3,12.2549
SEC23B,12.2522
TMEM160,12.2494
TMEM63A,12.2458
TNFAIP8L1,12.2437
EXT1,12.2434
ARMT1,12.2379
LDLRAP1,12.2347
FOPNL,12.2343
WBSCR22,12.2292
ZDHHC4,12.2279
SREK1,12.2246
DGCR8,12.2188
TAPT1,12.2178
RAB15,12.2071
PLIN1,12.2045
TMEM33,12.2032
CTR9,12.2023
CLDND1,12.2007
ANXA11,12.1989
NHLRC3,12.198
CH507-9B2.3,12.1968
SAMD1,12.1949
NGLY1,12.1844
MRPS31,12.1834
SLC35F6,12.1715
MED25,12.1659
HIPK3,12.1659
TMEM167B,12.1641
NCAPH2,12.1516
BRE,12.1502
CIR1,12.1486
ATL3,12.1485
SNF8,12.1397
ABC7-42389800N19.1,12.1392
SLC44A1,12.1382
HPCAL1,12.1376
PRSS8,12.1369
LRRC45,12.1364
PRPF4B,12.1334
ARMC5,12.1316
NIPSNAP3A,12.1313
FMR1,12.1307
HTATSF1,12.1289
KLHL2,12.1285
TMEM126B,12.124
RAB11A,12.1239
ARPP19,12.12
CCDC58,12.1156
MLPH,12.1144
SLC46A1,12.1093
C21orf59,12.1053
CPNE3,12.1046
YBX3,12.1017
C14orf119,12.0985
CRTAP,12.0975
MTMR10,12.0859
CYBA,12.0847
PAXBP1,12.0809
SPHK2,12.0803
TBC1D20,12.0751
NUFIP2,12.0739
ACTR3,12.0653
STEAP1,12.0611
ASMTL,12.0588
RP11-108O10.2,12.0574
UBTD1,12.0534
NUP62,12.0403
SPOUT1,12.0342
BCLAF1,12.0296
LARP7,12.0192
DHX30,12.0181
UNC45A,12.0172
ZNF316,12.0163
SLC45A3,12.0089
IRF1,12.0073
UPK3BL,12.0054
PGM3,12.0021
LDHB,11.9977
ABTB1,11.9939
MYO9B,11.9914
PCMTD2,11.9891
CD276,11.988
CCDC115,11.9862
SMG7,11.9848
SPATA13,11.98
MAPK6,11.9799
SUPV3L1,11.9762
RP3-342P20.2,11.976
SHTN1,11.974
PRKAG2,11.9735
PPFIBP2,11.971
MIA3,11.9702
SETD3,11.969
LRRFIP2,11.9686
GTPBP2,11.96
CAPRIN1,11.9595
PRRC2C,11.9531
TFDP1,11.9507
ZNF76,11.9493
NPEPPS,11.9493
TMEM106C,11.9466
PIP5K1A,11.9466
C9orf3,11.943
WDR72,11.9429
PSMD9,11.9426
COMMD1,11.9411
BNIP3L,11.9375
CERK,11.9302
CETN2,11.924
HAUS4,11.9213
SCPEP1,11.9211
NADSYN1,11.919
DAPK1,11.9178
CARS2,11.9177
RP11-196G11.5,11.9162
G3BP2,11.9161
FBXL3,11.9139
SLC22A9,11.9136
OSGEP,11.9068
MRPS14,11.9065
NBPF8,11.9025
FRAT2,11.9015
MRPS17,11.9013
LDB1,11.8953
NOP2,11.8914
C7orf43,11.8786
BNIP2,11.8763
KHNYN,11.8737
ABI1,11.8729
HPRT1,11.8728
GPATCH4,11.8682
C1GALT1C1,11.8617
FAM89B,11.8577
TIGD2,11.8534
GFER,11.8526
ANP32E,11.8498
TEX2,11.8492
DERL2,11.8469
GRB10,11.8437
RNF25,11.8419
LARS,11.8407
CBX4,11.8403
AGL,11.8395
WASHC3,11.8373
MVB12A,11.8348
TEX30,11.8283
AK6,11.8239
GOLGA1,11.8226
TPM2,11.8173
RABEP1,11.8155
PPIL1,11.8042
UBE2G1,11.8034
ADAM15,11.8022
AAR2,11.8014
OR7E38P,11.8002
MYH14,11.7963
FAM177A1,11.793
RPS6KA3,11.7929
BTD,11.7912
SH3BP2,11.7897
HUWE1,11.7851
KIAA1671,11.7826
DHX15,11.7818
MOCOS,11.7769
NEIL1,11.7728
SERPINH1,11.7719
TIMM50,11.7702
ABHD14A,11.7666
WFS1,11.7626
C1orf174,11.7622
PEX3,11.7574
ATXN7L3B,11.755
UBQLN2,11.7495
KIFC2,11.7466
KMT2B,11.746
KCNK5,11.7436
MUS81,11.7381
CASP6,11.7325
DDX19A,11.7323
ACOT1,11.7313
TEPSIN,11.7199
SWI5,11.7194
AMZ2,11.7137
USP19,11.7073
ZDHHC6,11.6943
MLXIP,11.691
SNAP29,11.6893
SHKBP1,11.6863
LEO1,11.682
SLC17A1,11.6797
PRKRA,11.6794
IGF2R,11.6728
TNFSF12,11.6694
SNTA1,11.6681
HOOK1,11.6656
CASC4,11.6622
OIP5-AS1,11.6574
MAVS,11.657
TCTN3,11.6556
TOR1B,11.6542
PIK3R2,11.654
KIF3B,11.6538
SLC12A4,11.6428
UBFD1,11.6397
CHIC2,11.6393
EGFL8,11.6356
REXO1,11.6353
RAVER1,11.6245
MTFR1,11.6223
HSPH1,11.6207
RAB35,11.6168
MICA,11.6119
DHRSX,11.6118
PCBP4,11.609
CTD-2325A15.5,11.6068
PPIG,11.6066
C19orf48,11.6054
KPNA6,11.6035
ADNP,11.6005
ANO6,11.6004
NKIRAS2,11.6003
ARPC5,11.6001
LRRC61,11.5925
ELOF1,11.5906
RP11-568K15.1,11.5899
FRG1CP,11.5884
SHBG,11.5862
STAG3L5P,11.5859
MET,11.5822
HLA-F,11.579
TCEAL1,11.5786
TMEM41A,11.5785
C7orf26,11.5745
FBXO6,11.5744
RRP7A,11.5651
BCAR1,11.5575
C1orf27,11.5565
LINC00963,11.5549
RP11-274B21.12,11.5493
CAMLG,11.5483
SLC15A4,11.5317
NSUN5P1,11.5312
PHF23,11.5302
SPRY2,11.5289
RERE,11.5137
PSME4,11.5135
RALY,11.5126
IKBKAP,11.5125
CD1D,11.512
NPAS2,11.5113
RFFL,11.5109
SPTBN2,11.5099
ARIH2,11.5051
PRKRIP1,11.5039
CARM1,11.4991
PDLIM5,11.4972
EFTUD2,11.4887
PPM1B,11.4887
EPHA1,11.4877
MYC,11.4869
RNASEH2C,11.4828
LETM1,11.4817
CXorf40B,11.4743
EXOSC1,11.4717
AQP1,11.4668
SNX14,11.4666
SAMD4B,11.4585
GTF2B,11.4513
FAF2,11.4509
RAB40C,11.4507
AHR,11.4461
LEPR,11.4446
RBM8A,11.4412
IER3IP1,11.4362
YPEL2,11.4339
MOAP1,11.4211
RABGGTA,11.4172
CPQ,11.4147
STK19,11.4146
IGHJ6,11.4127
DDX6,11.4109
PHKG2,11.4091
DTX1,11.4079
NPDC1,11.4065
SH3PXD2A,11.4057
THBS3,11.4037
MAU2,11.4035
TSPAN3,11.4028
BBOX1,11.4005
ATG16L1,11.3815
XPC,11.379
GPX1P1,11.3738
WDR74,11.3663
UCHL3,11.3653
RGS2,11.363
SP100,11.3605
JKAMP,11.3559
HPF1,11.3412
TEX264,11.3402
COL1A2,11.3367
RP1-60O19.1,11.3294
LAPTM5,11.3245
GFM2,11.3235
RP11-258F1.2,11.3202
FECH,11.32
NICN1,11.319
PRPF39,11.3062
USP9X,11.3041
FAM91A1,11.3016
C8orf76,11.2963
PIGV,11.2923
CARD10,11.2916
DEDD2,11.2904
WARS,11.2831
TTC3,11.2761
BTAF1,11.2751
USE1,11.2748
RNF113A,11.2652
NACC1,11.2633
P2RX4,11.26
TSPAN17,11.2536
TPM1,11.253
YRDC,11.2512
SCYL2,11.2486
BACE1,11.247
CCDC106,11.2467
TSPAN4,11.2455
CRIP2,11.2434
TIPRL,11.2423
EPRS,11.234
MTERF3,11.2331
RAB4B,11.2323
FAM83G,11.2239
AKAP2,11.2221
TOR1A,11.217
SRD5A2,11.2164
ATG3,11.2145
AFTPH,11.2139
ENKD1,11.2124
SLC25A27,11.2102
SMYD2,11.2081
ZMYND11,11.2073
KAT2B,11.2034
TDRP,11.1946
USB1,11.1909
PTEN,11.1844
DNAJB12,11.1836
KLHDC8B,11.1831
POFUT2,11.1814
METAP1,11.1805
QSOX1,11.1746
NR2F2,11.1724
MPHOSPH10,11.1693
COMMD4,11.1648
PCM1,11.1568
HNF4A-AS1,11.1551
MFSD12,11.1456
TBC1D13,11.1445
IFFO1,11.1404
H3F3A,11.14
MYBBP1A,11.1369
KB-68A7.1,11.1341
RAP1A,11.1335
GGT7,11.1275
GRSF1,11.1214
XAF1,11.1183
MRPL17,11.1167
MIIP,11.1147
SBF1,11.1104
PPP6C,11.1058
UFL1,11.1024
MRNIP,11.0978
BOP1,11.0891
NDUFA5,11.0885
C7orf73,11.0849
GLG1,11.075
C14orf166,11.0732
HDHD2,11.0687
ENTPD8,11.0668
HRAS,11.0643
MAP4K4,11.0641
ARHGAP17,11.061
COX15,11.0603
CTC-444N24.11,11.0588
MLLT6,11.0444
TRUB2,11.0429
AATF,11.0371
MAN2B2,11.033
NT5E,11.0314
SIRT3,11.0303
SIPA1,11.029
ZNF24,11.0266
MIR621,11.0237
FAM110C,11.018
USP14,11.0114
MOB1A,11.0103
RNF40,11.0089
IGKV1-5,11.0012
KRT17P8,10.9953
DMTF1,10.9895
NECAB3,10.9862
RNF152,10.9806
SNRPN,10.9761
EAF1,10.976
AKR1C6P,10.9668
STRN3,10.9665
TSNAX,10.9613
RNF14,10.9611
F8A1,10.9555
ZC3H18,10.9528
TRIP12,10.9525
GPR137,10.9464
VPS26A,10.9417
TMEM134,10.9339
LAD1,10.9311
FITM1,10.9226
MAPKAP1,10.9226
KIAA0100,10.9152
ANAPC4,10.9135
CNOT3,10.9117
NOP16,10.9116
PKM,10.9115
FAAP100,10.9082
CTB-50L17.10,10.9061
HNRNPA0,10.9013
SH2D4A,10.9005
CTCF,10.8727
TNFRSF12A,10.8699
VWCE,10.8629
VRK3,10.858
GATAD2A,10.8563
BLOC1S2,10.8474
PSMA3-AS1,10.8427
EXOC3,10.8408
ZFAND1,10.8404
PTPRA,10.8402
LINC01578,10.8365
RTF1,10.8329
LRRC3,10.8329
MON1B,10.8309
TBCE,10.8305
