gene_symbol,liver_tpm
MT1H,178.778
GLYCTK,178.627
C3P1,178.286
CHCHD2,177.985
ZFP36,175.655
DBI,175.48
RPS14,175.467
PRDX5,175.229
TDO2,174.632
RPS26,174.207
SNRNP70,174.187
CALM2,173.942
RPS20,171.398
UGT2B4,169.87
SLC25A5,169.736
SLC9A3R1,169.096
G6PC,168.928
NDUFS5,168.473
HAAO,168.413
BTF3,168.361
HAO1,167.567
CTSB,166.971
HINT1,166.766
CTD-3128G10.7,166.168
ATF4,165.658
ACSM2A,165.649
APOF,164.744
IGFBP2,164.65
RNASE4,164.63
RPL36,164.444
LY6E,163.245
TPI1,163.133
C19orf43,162.533
NDUFB7,161.917
ATP5D,161.902
HSPA8,160.829
SLC38A3,160.726
RPS19,159.826
ANPEP,159.813
SCD,159.619
HSPB1,159.559
DHRS3,158.947
CYP3A5,155.853
EIF5A,155.648
ACADS,155.224
SERPINA11,154.968
AKR1C4,154.889
COX5B,154.842
GHITM,154.584
UBL5,154.034
PTP4A1,153.899
ACSM2B,153.412
FMO3,152.507
PCBD1,151.935
RPS9,151.774
EIF1,151.647
RPL7,150.257
STOM,149.648
POR,149.252
RPS4X,148.797
AUP1,148.396
CEBPB,148.352
RPL26,148.18
LINC01554,147.6
GOT2,147.413
PFDN5,147.397
GSTO1,147.022
ATP5H,146.794
RBP5,145.675
CYP4F3,144.927
SLC38A4,144.737
PDIA4,143.979
UGP2,143.903
JUNB,143.852
MGST1,143.805
TMED9,143.782
VEGFA,143.583
IGFBP3,143.431
MPST,142.785
ATP5I,142.682
SARAF,142.616
KDELR2,141.929
HSD17B10,141.765
FXYD1,141.127
CDO1,140.621
SDC4,140.571
BST2,140.561
METTL7A,139.86
PTMA,139.489
PDIA3,139.394
TTC38,139.239
RACK1,138.741
RPL12,138.689
PON1,137.432
PHB2,136.385
C6,136.15
EIF4A2,136.098
POLDIP2,135.658
SEC61A1,135.404
GABARAP,134.948
ANGPTL8,134.336
MYL12B,134.039
PXDC1,133.823
ANGPTL3,133.778
HIGD1A,133.669
SRRM2,132.906
DPYS,132.841
LAPTM4A,132.115
MPC1,131.919
SHMT2,131.56
STEAP3,131.469
MT1F,130.759
CHRD,130.748
SLC2A2,130.68
ARF1,130.619
HBA2,130.55
RPL32,130.026
COX6B1,129.964
NDUFB11,129.7
CPN2,128.881
DDX5,128.742
PTGR1,128.655
C19orf66,128.579
NME2,127.79
RPS21,127.742
GPT,127.723
UGT2B7,127.374
APOM,127.085
SURF4,126.837
ACAT1,126.731
PCK2,126.528
PIPOX,126.365
JTB,126.354
CYC1,126.3
SLC25A1,126.243
THRSP,126.209
LIME1,126.104
MSMO1,125.987
TUFM,125.864
TOMM6,125.78
LAMP1,125.699
ACY1,125.591
SLC9A3R2,125.261
SDHB,124.93
GNMT,124.756
CYP2B6,124.628
PXMP2,124.001
IGKJ1,123.64
SERPINA4,123.504
