distribution,loo_influence
background,0.03362982479124313
background,0.006528286849527435
background,0.00626379935247978
background,0.014253292812044346
background,0.0058114402238201865
background,0.011407822203941433
background,0.009817455892886509
background,0.017130477829118237
background,0.008833324068551049
background,0.008241553215037029
background,0.005020390244887875
background,0.009674642261737814
background,0.01370092471123691
background,0.008088745229915999
background,0.013553111845736161
background,0.01778538702626789
background,0.008123625190318786
background,0.009982954986973139
background,0.01777301037678169
background,0.005825038761455208
background,0.014745220412256399
background,0.0182562932214134
background,0.010433894501570127
background,0.014141473398663453
background,0.010143876519337543
background,0.008362518815740357
background,0.037522083841248464
background,0.013754801415660156
background,0.007164981398415407
background,0.006243491641480602
background,0.007009276022725434
background,0.019236284424045666
background,0.024707607560370208
background,0.01960951152235376
background,0.0041569192171606924
background,0.011012560793699807
background,0.01455013866106525
background,0.011147216643965266
background,0.0070518643155867925
background,0.0055345087620290384
background,0.010568545143972725
background,0.017259307675252827
background,0.011658626201585767
background,0.008302545051082213
background,0.006017214717571147
background,0.012088987153220977
background,0.01769606426948958
background,0.007340314979043319
background,0.004500112641299408
background,0.006168670099912402
background,0.01928632643021753
background,0.014462906501425666
background,0.005374642023205708
background,0.015416938309765971
background,0.007283254463907079
background,0.018998378468593893
background,0.032029850232696895
background,0.005374662705790371
background,0.004847951939082986
background,0.005361107886929365
background,0.005997332314372192
background,0.013921131936912204
background,0.01143487859277977
background,0.008159735668076082
background,0.008011239555413899
background,0.005626176587140826
background,0.007814213911270863
background,0.008523943836721398
background,0.008058680032283862
background,0.006667444974731829
background,0.01042446780561917
background,0.025208866642685488
background,0.010540706157036851
background,0.011991601901552577
background,0.015165385234505363
background,0.00582887292634524
background,0.010606616142103861
background,0.005731531729609465
background,0.008949402276789064
background,0.008036791113809998
background,0.006490091577858793
background,0.019481473481224275
background,0.005950957447249394
background,0.03520681601933713
background,0.028604604139409844
background,0.013700300860221969
background,0.005706088529168926
background,0.009484127564345699
background,0.02128853522749367
background,0.030505937496310396
background,0.014239403490567125
background,0.012589283655358843
background,0.01077316523613495
