iteration,quercetin_sampled_influence
0,0.024056641862753525
1,0.01874082994442717
2,0.016672145457850986
3,0.031621469528541626
4,0.023004291444597084
5,0.030703753602088376
6,0.016461378176750474
7,0.016016419567071727
8,0.029332113095799427
9,0.03204254641467924
10,0.018890066298904273
11,0.03528398810313284
12,0.021162462619513166
13,0.026707585600668104
14,0.02634473991645933
15,0.019656306069551915
16,0.024041978364523837
17,0.023216285871364865
18,0.03122117785943115
19,0.03245124445552687
20,0.03446858082769478
21,0.03747997509753677
22,0.017635331439298522
23,0.018877675913735712
24,0.0486434568048766
25,0.021921018132291192
26,0.023425207399593077
27,0.02223896593266387
28,0.03386569915542506
29,0.03250065651128923
30,0.03081017656576812
31,0.031055471910978953
32,0.0426408028737338
33,0.03459735654043992
34,0.041385953918666375
35,0.023631578244338987
36,0.05775120275063985
37,0.025585120735052105
38,0.02694375978902942
39,0.03636506848224557
40,0.029317288844589236
41,0.023961262636732622
42,0.03892498057579968
43,0.041748917395536836
44,0.024588497761460062
45,0.03362166685965255
46,0.021930347841037475
47,0.055083484579244994
48,0.03784386829411504
49,0.0200456822877106
50,0.022874312004793708
51,0.040871384449273414
52,0.04021325893903623
53,0.0346788785862763
54,0.05313432276302309
55,0.011764465903389658
56,0.01954611037313349
57,0.04409094072592081
58,0.0499133098073671
59,0.05572512896004478
60,0.030391052917961143
61,0.027427039133923515
62,0.021781967217230695
63,0.016022632729472186
64,0.0467526484952075
65,0.03346049549358872
66,0.031592204578959275
67,0.021981108426589752
68,0.031368362998386155
69,0.043960067861058424
70,0.02458734803820345
71,0.051316237093926846
72,0.025931955787323723
73,0.024921536524217847
74,0.036858546151265416
75,0.031820905165819716
76,0.03013792319123831
77,0.03786009685901705
78,0.026570783247782826
79,0.027893325356623606
80,0.02270637568259257
81,0.037738679683832856
82,0.027767861298801585
83,0.031020399060126175
84,0.03927259901735929
85,0.03661499241185334
86,0.029322876848198454
87,0.03022091382048633
88,0.04001019196419863
89,0.03859699492855294
90,0.03337416633694372
91,0.02329078289322247
92,0.053006024189869064
93,0.02494410670009539
94,0.021748174822386123
95,0.028115018658098484
96,0.036536612809360235
97,0.01566597316385786
98,0.02192202101638524
99,0.028171834202563542
